layer,cos,shift_norm,shift_norm_over_median_norm,proj_on_dir,proj_se,gap_test,gap_all,frac_gap_closed_test,frac_gap_closed_all,cos_ft_minus_base_vs_bella_minus_base,random_dir_abs_cos_p95,is_global_attention
21,0.43266406655311584,7.522521018981934,0.0836213082075119,3.2547245025634766,0.053761232644319534,18.361669540405273,18.488170623779297,0.17725645782925026,0.17604362101555268,0.43424251675605774,0.028975523832308107,False
22,0.43957510590553284,4.601417064666748,0.08541791141033173,2.0226683616638184,0.03652903065085411,11.896932601928711,12.107318878173828,0.17001595531741576,0.1670616246269134,0.44263800978660583,0.03543934998549112,False
23,0.5740457773208618,13.76945686340332,0.13060061633586884,7.904298782348633,0.14292804896831512,25.559946060180664,25.32122230529785,0.30924551889655916,0.31216102789377786,0.5794506669044495,0.027940002688292193,True
24,0.6290537118911743,12.264077186584473,0.09757085144519806,7.714763641357422,0.13045914471149445,25.366857528686523,25.18201446533203,0.3041276844257534,0.30636006710179214,0.6345919370651245,0.04873673594920057,False
25,0.5878738164901733,10.583477973937988,0.07684241980314255,6.221749782562256,0.10188628733158112,24.386308670043945,24.253877639770508,0.2551329053832994,0.2565259821530594,0.5950595736503601,0.03263400475575674,False
26,0.598054826259613,9.436841011047363,0.06601957976818085,5.6437482833862305,0.09189026802778244,22.6580867767334,22.48719024658203,0.24908317895496584,0.25097614337318375,0.6045277714729309,0.03569377882676277,False
27,0.5924885869026184,8.706136703491211,0.06109469383955002,5.1582865715026855,0.0815461203455925,20.545452117919922,20.42595672607422,0.25106707518028204,0.25253586114367954,0.5988379716873169,0.03787483285367109,False
28,0.5548051595687866,9.268226623535156,0.06479287147521973,5.142059803009033,0.08226323872804642,19.943702697753906,19.801252365112305,0.2578287432848736,0.25968356486728056,0.5607864856719971,0.03352188091474646,False
29,0.7268368005752563,14.575052261352539,0.10202768445014954,10.593684196472168,0.16604895889759064,24.618234634399414,24.372529983520508,0.4303185973241745,0.4346567304926936,0.7292729616165161,0.032477272507810885,True
30,0.7322516441345215,14.09213638305664,0.08376674354076385,10.318989753723145,0.1625244915485382,26.823572158813477,26.780414581298828,0.38469856634410315,0.38531852157841695,0.7348705530166626,0.02944144026371681,False
31,0.7638432383537292,13.616442680358887,0.07193935662508011,10.400827407836914,0.16505524516105652,27.303918838500977,27.32948875427246,0.38092800778365976,0.3805716053217767,0.7662068009376526,0.0366359632736739,False
32,0.7775483131408691,13.07727336883545,0.06410693377256393,10.168211936950684,0.1601976454257965,26.302757263183594,26.218616485595703,0.38658349903047234,0.3878241227006397,0.7796404361724854,0.04590521865536314,False
33,0.7500056028366089,12.486257553100586,0.05939561501145363,9.364763259887695,0.14403556287288666,24.936681747436523,24.86652946472168,0.3755416761033327,0.37660113660708266,0.7528221011161804,0.02902484392823001,False
34,0.7052268385887146,11.753118515014648,0.054228123277425766,8.288614273071289,0.1370767056941986,23.86922836303711,23.831375122070312,0.3472510358108891,0.3478026018479805,0.7088721990585327,0.02686861499876509,False
35,0.6839385032653809,12.449694633483887,0.05601602420210838,8.514825820922852,0.14460046589374542,24.455053329467773,24.53158187866211,0.3481826723584644,0.3470964841582091,0.6868559718132019,0.027010240431596434,True
36,0.6090841889381409,12.899771690368652,0.05847281962633133,7.857047080993652,0.1381312608718872,22.831544876098633,22.892778396606445,0.34413120634770794,0.34321072544686654,0.6135178208351135,0.06008868886260551,False
37,0.6021171808242798,12.066360473632812,0.056867778301239014,7.2653632164001465,0.12759244441986084,21.561017990112305,21.616716384887695,0.33696754113057087,0.33609929866496197,0.605915367603302,0.038103991129417245,False
38,0.6032768487930298,11.079829216003418,0.05645134672522545,6.684204578399658,0.11786122620105743,20.297252655029297,20.331581115722656,0.3293157301632855,0.3287597034561509,0.6066405177116394,0.035272047185341,False
39,0.5659968852996826,9.842704772949219,0.05719093978404999,5.570940017700195,0.09906981140375137,18.534626007080078,18.521318435668945,0.3005693244402202,0.3007852835666116,0.5685800313949585,0.03328050097128512,False
40,0.4629107713699341,10.000829696655273,0.0723586156964302,4.629491806030273,0.07706109434366226,16.13726043701172,16.046911239624023,0.2868821398836863,0.28849737727712027,0.46308794617652893,0.03174512908140837,False
41,0.4941912293434143,8.366205215454102,0.1406075805425644,4.134505271911621,0.09357471019029617,11.519153594970703,11.289098739624023,0.3589243982055034,0.3662387376770626,0.46944135427474976,0.04178213329392866,True
